_id,BatchFileName,PoliceServiceType,PoliceService,OPP_PoliceService,IncidentNumber,Date,ApproximateTimeForceApplied,LocationType_ResidentialBuilding,LocationType_NonResidentialBuilding,LocationType_MotorVehicle,LocationType_OpenSpace,LocationType_PublicTransportation,ReportType,TypeTeam,NumberTeam,Attire,AssignmentType,IncidentType,HumaneDestructionAnimal_Distance,HumaneDestructionAnimal_Handgun,HumaneDestructionAnimal_Rifle,HumaneDestructionAnimal_Shotgun,HumaneDestructionAnimal_NumberRoundsDischarged,InteractionType,NumberIndividuals,NumberOtherOfficers,OfficerInvolvedInjuries_PhysicalInjuries,OfficerInvolvedInjuries_Treatment_No,OfficerInvolvedInjuries_Treatment_FirstAid,OfficerInvolvedInjuries_Treatment_MedicalPersonnelScene,OfficerInvolvedInjuries_Treatment_AdmissionMedicalFacility,OfficerInvolvedInjuries_Treatment_MedicalFacility,OfficerInvolvedInjuries_Treatment_Unknown,OfficerInvolvedInjuries_Treatment_Other,NoInteractIndiv_ReasonUseOfForce_EffectArrest,NoInteractIndiv_ReasonUseOfForce_PreventOffence,NoInteractIndiv_ReasonUseOfForce_PreventEscape,NoInteractIndiv_ReasonUseOfForce_ProtectOtherOfficers,NoInteractIndiv_ReasonUseOfForce_ProtectPublic,NoInteractIndiv_ReasonUseOfForce_ProtectSelf,NoInteractIndiv_ReasonUseOfForce_ProtectIndiv,NoInteractIndiv_ReasonUseOfForce_Unintentional,NoInteractIndiv_ReasonUseOfForce_Other,NoInteractIndiv_TypeForceUsed_CEW_Check,NoInteractIndiv_TypeForceUsed_CEW_Discharged,NoInteractIndiv_TypeForceUsed_Firearm_Handgun_Check,NoInteractIndiv_TypeForceUsed_Firearm_Handgun_Drawn,NoInteractIndiv_TypeForceUsed_Firearm_Handgun_Discharged,NoInteractIndiv_TypeForceUsed_Firearm_Rifle_Check,NoInteractIndiv_TypeForceUsed_Firearm_Rifle_Discharged,NoInteractIndiv_TypeForceUsed_Firearm_ShotgunLethal_Check,NoInteractIndiv_TypeForceUsed_Firearm_ShotgunLethal_Discharged,NoIndivAnimalOnly_ReasonUseOfForce_EffectArrest,NoIndivAnimalOnly_ReasonUseOfForce_PreventOffence,NoIndivAnimalOnly_ReasonUseOfForce_PreventEscape,NoIndivAnimalOnly_ReasonUseOfForce_ProtectOtherOfficers,NoIndivAnimalOnly_ReasonUseOfForce_ProtectPublic,NoIndivAnimalOnly_ReasonUseOfForce_ProtectSelf,NoIndivAnimalOnly_ReasonUseOfForce_ProtectIndiv,NoIndivAnimalOnly_ReasonUseOfForce_Unintentional,NoIndivAnimalOnly_ReasonUseOfForce_Other,NoIndivAnimalOnly_TypeForceUsed_CEW,NoIndivAnimalOnly_TypeForceUsed_Firearm,Inclusion_SOLGEN_ARA_Analysis
11,564472069,Municipal Police,Peel Regional,,PEL-377218,2023-01-15,10:12:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
12,583923567,Municipal Police,Peel Regional,,PEL-279609,2023-01-15,23:25:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
13,166715226,Municipal Police,Peel Regional,,PEL-788102,2023-01-25,11:41:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
14,812001514,Municipal Police,Peel Regional,,PEL-641144,2023-01-28,14:20:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ","Other Federal/Provincial Statutes (e.g., LLA)",,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
15,949578855,Municipal Police,Peel Regional,,PEL-991136,2023-01-31,23:06:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
16,729541390,Municipal Police,Peel Regional,,PEL-844846,2023-02-01,04:31:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
17,843368862,Municipal Police,Peel Regional,,PEL-844846,2023-02-01,04:31:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
18,148955600,Municipal Police,Peel Regional,,PEL-140020,2023-02-01,10:33:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
19,313694372,Municipal Police,Peel Regional,,PEL-218826,2023-02-05,14:51:00,,,1,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
20,788371579,Municipal Police,Peel Regional,,PEL-218826,2023-02-05,14:51:00,,,1,1,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
21,618338024,Municipal Police,Peel Regional,,PEL-330998,2023-02-06,03:06:00,,,1,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ","Traffic (e.g., RIDE, vehicle collision)",,,,,,Interaction with Individual(s),2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
22,894225363,Municipal Police,Peel Regional,,PEL-931052,2023-02-17,01:29:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),2,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
23,569459782,Municipal Police,Peel Regional,,PEL-247535,2023-02-18,02:38:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
24,213372872,Municipal Police,Peel Regional,,PEL-531586,2023-02-20,17:08:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
25,939537346,Municipal Police,Peel Regional,,PEL-383076,2023-02-24,18:44:00,,,,1,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
26,828680240,Municipal Police,Peel Regional,,PEL-874352,2023-03-04,22:34:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
27,724144049,Municipal Police,Peel Regional,,PEL-874352,2023-03-04,22:34:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
28,480628715,Municipal Police,Peel Regional,,PEL-442946,2023-03-09,06:33:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
29,900010236,Municipal Police,Peel Regional,,PEL-442946,2023-03-09,06:33:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
30,479925650,Municipal Police,Peel Regional,,PEL-325843,2023-03-09,19:08:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Family/Neighbour/Other Type of Dispute,,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
31,240727337,Municipal Police,Peel Regional,,PEL-271736,2023-03-12,02:45:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
32,332167484,Municipal Police,Peel Regional,,PEL-271736,2023-03-13,02:27:00,1,,,,,Individual,,,Non-Uniform,"Investigations (CIB, Major Crime)","Assisting Other Police Service/Agency (e.g., EMS, animal welfare inspectors)",,,,,,Interaction with Individual(s),2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
33,790484541,Municipal Police,Peel Regional,,PEL-533355,2023-03-17,22:30:00,,,,,1,Team,Other,2,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
34,365863383,Municipal Police,Peel Regional,,PEL-421208,2023-03-18,01:46:00,,1,,1,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),3,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
35,376592594,Municipal Police,Peel Regional,,PEL-502584,2023-03-19,15:33:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
36,841279034,Municipal Police,Peel Regional,,PEL-146094,2023-12-06,06:00:00,1,,,,,Team,Hostage Rescue Team,9,Uniform,Tactical,"Executing Warrant (e.g., DNA, arrest, search)",,,,,,Interaction with Individual(s),3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
37,654013802,Municipal Police,Peel Regional,,PEL-146094,2023-11-02,06:05:00,1,,,,,Team,Tactical Team,14,Uniform,Tactical,"Executing Warrant (e.g., DNA, arrest, search)",,,,,,Interaction with Individual(s),2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
38,786798497,Municipal Police,Peel Regional,,PEL-530885,2023-04-11,10:20:00,,,,1,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
39,791196649,Municipal Police,Peel Regional,,PEL-743136,2023-04-17,21:26:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Family/Neighbour/Other Type of Dispute,,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
40,314549273,Municipal Police,Peel Regional,,PEL-743136,2023-04-17,21:26:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Family/Neighbour/Other Type of Dispute,,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
41,448639288,Municipal Police,Peel Regional,,PEL-910862,2023-04-18,21:07:00,,,,1,,Individual,,,Uniform,Other,Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
42,452438534,Municipal Police,Peel Regional,,PEL-824905,2023-04-20,21:00:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
43,223442106,Municipal Police,Peel Regional,,PEL-824905,2023-04-20,21:00:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
44,957496666,Municipal Police,Peel Regional,,PEL-824905,2023-04-20,21:00:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
45,385578537,Municipal Police,Peel Regional,,PEL-824905,2023-04-20,21:00:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
46,395893081,Municipal Police,Peel Regional,,PEL-182219,2023-04-30,00:15:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),3,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
47,382894102,Municipal Police,Peel Regional,,PEL-182219,2023-04-30,00:15:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),3,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
48,418182568,Municipal Police,Peel Regional,,PEL-604823,2023-04-30,05:46:00,1,,,,,Team,Other,2,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Family/Neighbour/Other Type of Dispute,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
49,299601154,Municipal Police,Peel Regional,,PEL-604823,2023-04-30,05:46:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Family/Neighbour/Other Type of Dispute,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
50,709049767,Municipal Police,Peel Regional,,PEL-604823,2023-04-30,05:46:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Family/Neighbour/Other Type of Dispute,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
51,821335770,Municipal Police,Peel Regional,,PEL-917822,2023-05-02,16:39:00,,,,,1,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,3,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
52,833327236,Municipal Police,Peel Regional,,PEL-269746,2023-05-03,16:45:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),1,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
53,331720488,Municipal Police,Peel Regional,,PEL-697799,2023-05-04,18:12:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
54,379238601,Municipal Police,Peel Regional,,PEL-697799,2023-05-04,18:12:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Violent Crime (including Intimate Partner Violence),,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
55,120522457,Municipal Police,Peel Regional,,PEL-139570,2023-05-11,15:41:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
56,791065783,Municipal Police,Peel Regional,,PEL-537913,2023-05-12,21:12:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),3,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
57,374636783,Municipal Police,Peel Regional,,PEL-865877,2023-05-15,09:00:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
58,782319505,Municipal Police,Peel Regional,,PEL-711674,2023-05-19,16:42:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ","Assisting Other Police Service/Agency (e.g., EMS, animal welfare inspectors)",,,,,,Interaction with Individual(s),1,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
59,430153830,Municipal Police,Peel Regional,,PEL-253413,2023-05-19,18:17:00,,,,1,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Active Attacker,,,,,,Interaction with Individual(s),1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
60,839045049,Municipal Police,Peel Regional,,PEL-921995,2023-06-06,13:13:00,,1,,,,Individual,,,Uniform,Prisoner Transportation/Care/Control,"Police Custody Related (e.g. prisoner control, fingerprinting, lock-up area)",,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
61,562050212,Municipal Police,Peel Regional,,PEL-704702,2023-06-03,23:05:00,,,,1,,Individual,,,Uniform,"Guns and Gangs, ROPE, Other Specialized Units",Person Stop,,,,,,Interaction with Individual(s),1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
62,607847322,Municipal Police,Peel Regional,,PEL-961254,2023-06-08,14:11:00,1,,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Barricaded Individual/Disturbance/Individual in Crisis/Wellness/Safety Check,,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
63,574903413,Municipal Police,Peel Regional,,PEL-977971,2023-06-16,00:29:00,,,,1,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Stolen Vehicle,,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
64,390849972,Municipal Police,Peel Regional,,PEL-229180,2023-06-16,23:45:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ","Police Custody Related (e.g. prisoner control, fingerprinting, lock-up area)",,,,,,Interaction with Individual(s),1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
65,363335622,Municipal Police,Peel Regional,,PEL-878267,2023-06-24,13:32:00,,1,,,,Individual,,,Uniform,"Patrol (e.g., general, foot, bicycle, ATV, snowmobile) ",Weapon(s),,,,,,Interaction with Individual(s),3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
