BatchFileName,Indiv_Index,Weapon,Location
891565886,1,Knife/Edged,In Hand
165701522,1,Knife/Edged,"On Person, including concealed"
427943114,1,Knife/Edged,"Accessible (e.g., within reach)"
808397494,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
722508247,1,"Long Gun (rifle, shotgun)",In Hand
916290161,1,Other,In Hand
983070371,1,Club or Impact Weapon,In Hand
759089620,1,Handgun,In Hand
690368096,1,Knife/Edged,In Hand
690368096,1,Other,"Accessible (e.g., within reach)"
548379103,1,Knife/Edged,In Hand
910915192,1,Knife/Edged,In Hand
361714220,1,Club or Impact Weapon,In Hand
361714220,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
776848666,1,Other,"On Person, including concealed"
589536888,1,Club or Impact Weapon,In Hand
566707902,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
434302099,1,Handgun,"Accessible (e.g., within reach)"
555068204,1,Handgun,"Accessible (e.g., within reach)"
555068204,2,Handgun,"Accessible (e.g., within reach)"
134661997,1,Knife/Edged,"Accessible (e.g., within reach)"
239757356,1,Handgun,"On Person, including concealed"
467339881,1,Handgun,"On Person, including concealed"
654299928,1,Handgun,"On Person, including concealed"
102938045,1,Knife/Edged,"Accessible (e.g., within reach)"
308550090,1,Handgun,"Accessible (e.g., within reach)"
308550090,1,Knife/Edged,"Accessible (e.g., within reach)"
915292972,1,Handgun,"Accessible (e.g., within reach)"
915292972,1,Knife/Edged,"Accessible (e.g., within reach)"
104522262,1,Handgun,"Accessible (e.g., within reach)"
104522262,1,Knife/Edged,"Accessible (e.g., within reach)"
263335255,1,Knife/Edged,"Accessible (e.g., within reach)"
179980110,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
926016869,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
612687656,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
612687656,1,Vehicle,In Hand
376971716,1,Knife/Edged,"Accessible (e.g., within reach)"
887206737,1,Handgun,"On Person, including concealed"
352090313,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
559877645,1,Handgun,"Accessible (e.g., within reach)"
200484679,1,Knife/Edged,In Hand
677477584,1,Knife/Edged,In Hand
928360867,1,Canine,"Accessible (e.g., within reach)"
137279630,1,Handgun,"Accessible (e.g., within reach)"
137279630,1,"Long Gun (rifle, shotgun)",In Hand
589507843,1,Aerosol,"On Person, including concealed"
589507843,1,Handgun,"On Person, including concealed"
589507843,1,"Long Gun (rifle, shotgun)",In Hand
485503688,1,Handgun,"Accessible (e.g., within reach)"
485503688,1,"Long Gun (rifle, shotgun)",In Hand
247613000,1,Handgun,"On Person, including concealed"
247613000,1,"Long Gun (rifle, shotgun)",In Hand
629794564,1,Knife/Edged,"Accessible (e.g., within reach)"
629794564,2,Knife/Edged,"Accessible (e.g., within reach)"
629794564,3,Knife/Edged,"Accessible (e.g., within reach)"
629794564,4,Knife/Edged,"Accessible (e.g., within reach)"
847504565,1,Knife/Edged,"On Person, including concealed"
847504565,2,Knife/Edged,"On Person, including concealed"
789183304,1,Knife/Edged,"Accessible (e.g., within reach)"
445860132,1,Knife/Edged,"Accessible (e.g., within reach)"
445860132,2,Knife/Edged,"Accessible (e.g., within reach)"
599454394,1,Knife/Edged,"Accessible (e.g., within reach)"
238486033,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
217189783,1,Aerosol,"Accessible (e.g., within reach)"
217189783,1,Handgun,"Accessible (e.g., within reach)"
217189783,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
351391639,1,Aerosol,"Accessible (e.g., within reach)"
351391639,1,Handgun,"Accessible (e.g., within reach)"
351391639,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
912310041,1,Unknown Type of Weapon,"On Person, including concealed"
925832388,1,Knife/Edged,"Accessible (e.g., within reach)"
508616763,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
541958361,1,Knife/Edged,"On Person, including concealed"
110293551,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
361728490,1,Handgun,"Accessible (e.g., within reach)"
234956736,1,Other,"Accessible (e.g., within reach)"
403817744,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
224569407,1,Other,"Accessible (e.g., within reach)"
282818928,1,Other,"Accessible (e.g., within reach)"
698810205,1,Knife/Edged,"Accessible (e.g., within reach)"
795300855,1,Handgun,"Accessible (e.g., within reach)"
697786565,1,Handgun,"Accessible (e.g., within reach)"
870513509,1,Unknown Type of Weapon,"On Person, including concealed"
969523761,1,Vehicle,"Accessible (e.g., within reach)"
751105964,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
809419242,1,Handgun,"On Person, including concealed"
175962468,1,Handgun,"On Person, including concealed"
316061820,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
767367678,1,Other,"Accessible (e.g., within reach)"
970321210,1,Handgun,"Accessible (e.g., within reach)"
761509599,1,Handgun,"Accessible (e.g., within reach)"
761509599,2,Handgun,"Accessible (e.g., within reach)"
761509599,3,Handgun,"Accessible (e.g., within reach)"
761509599,4,Handgun,"Accessible (e.g., within reach)"
761509599,5,Handgun,"Accessible (e.g., within reach)"
761509599,6,Handgun,"Accessible (e.g., within reach)"
477372058,1,"Long Gun (rifle, shotgun)","On Person, including concealed"
205008427,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
205008427,1,Knife/Edged,"Accessible (e.g., within reach)"
858776630,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
858776630,1,Knife/Edged,"Accessible (e.g., within reach)"
634614239,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
634614239,1,Knife/Edged,"Accessible (e.g., within reach)"
583733345,1,Unknown Type of Weapon,In Hand
539842823,1,Handgun,"Accessible (e.g., within reach)"
539842823,2,Handgun,"Accessible (e.g., within reach)"
187154372,1,Handgun,"Accessible (e.g., within reach)"
187154372,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
187154372,2,Unknown Type of Weapon,"Accessible (e.g., within reach)"
187154372,3,Unknown Type of Weapon,"Accessible (e.g., within reach)"
187154372,4,Unknown Type of Weapon,"Accessible (e.g., within reach)"
656927785,1,Knife/Edged,"Accessible (e.g., within reach)"
809612091,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
815121262,1,Handgun,"Accessible (e.g., within reach)"
815121262,1,Knife/Edged,"Accessible (e.g., within reach)"
815121262,2,Handgun,"Accessible (e.g., within reach)"
815121262,2,Knife/Edged,"Accessible (e.g., within reach)"
815121262,3,Handgun,"Accessible (e.g., within reach)"
815121262,3,Knife/Edged,"Accessible (e.g., within reach)"
815121262,4,Handgun,"Accessible (e.g., within reach)"
815121262,4,Knife/Edged,"Accessible (e.g., within reach)"
835466629,1,"Long Gun (rifle, shotgun)",In Hand
208729945,1,Knife/Edged,In Hand
157618480,1,Club or Impact Weapon,In Hand
157618480,1,Knife/Edged,"Accessible (e.g., within reach)"
437968175,1,Handgun,In Hand
469641688,1,"Long Gun (rifle, shotgun)",In Hand
335926738,1,Handgun,In Hand
676512802,1,Handgun,"Accessible (e.g., within reach)"
676512802,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
432979370,1,Handgun,In Hand
733380189,1,Handgun,"Accessible (e.g., within reach)"
917075590,1,Handgun,In Hand
944287890,1,Other,In Hand
175320769,1,Handgun,"Accessible (e.g., within reach)"
175320769,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
420175470,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
753067027,1,Handgun,"Accessible (e.g., within reach)"
753067027,2,Handgun,"Accessible (e.g., within reach)"
753067027,3,Handgun,"Accessible (e.g., within reach)"
541065289,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
794073641,1,Knife/Edged,"Accessible (e.g., within reach)"
794073641,1,Other,"Accessible (e.g., within reach)"
714854830,1,Handgun,"Accessible (e.g., within reach)"
714854830,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
714854830,2,Handgun,"Accessible (e.g., within reach)"
714854830,2,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
714854830,3,Handgun,"Accessible (e.g., within reach)"
714854830,3,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
507716884,1,Handgun,"Accessible (e.g., within reach)"
507716884,1,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
507716884,2,Handgun,"Accessible (e.g., within reach)"
507716884,2,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
507716884,3,Handgun,"Accessible (e.g., within reach)"
507716884,3,"Long Gun (rifle, shotgun)","Accessible (e.g., within reach)"
993633404,1,Handgun,"Accessible (e.g., within reach)"
858345658,1,Handgun,"Accessible (e.g., within reach)"
602000709,1,Handgun,"On Person, including concealed"
721927178,1,Handgun,"On Person, including concealed"
897846409,1,Unknown Type of Weapon,In Hand
698868471,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
127397582,1,Other,In Hand
344181045,1,Knife/Edged,In Hand
296010747,1,Handgun,"Accessible (e.g., within reach)"
296010747,2,Handgun,"Accessible (e.g., within reach)"
274567441,1,Unknown Type of Weapon,"Accessible (e.g., within reach)"
553031920,1,Knife/Edged,In Hand
562038547,1,Club or Impact Weapon,In Hand
787289866,1,Club or Impact Weapon,"Accessible (e.g., within reach)"
787289866,1,Knife/Edged,"Accessible (e.g., within reach)"
