File Name,Variable Name,Variable Label,Variable Definition,Data Values,Requirement Status in the Use of Force Report,Additional Notes,Data Type,Data Format,Measurement Level,Recoded Variable Flag,Recoded Variable Notes
UoF_Main_Records,NumberIndividuals,Number of Individuals ,Number of individuals on whom reportable force was used,Number between 1 and 99 ,Mandatory - Conditional,"Mandatory IF Individual or Animal Interaction = ""Interaction with Individual(s)"".",Integer,,Interval/Ratio,Yes ,Correcting values based on additional information from the narrative and other associated reports
UoF_Main_Records,NumberOtherOfficers,Number of Officers,Number of officers (other than the reporting officer) directly involved in the force incident,Number between 0 and 99 ,Mandatory - Conditional,"Mandatory IF Individual or Animal Interaction = ""Interaction with Individua(s)"".",Integer,,Interval/Ratio,Yes ,Correcting values based on additional information from the narrative and other associated reports
UoF_Main_Records,OfficerInvolvedInjuries_PhysicalInjuries,Officer Involved - Physical Injuries,Specifies whether the reporting officer sustained physical injuries as a result of force they used,"Yes
No",Mandatory - Conditional,"Mandatory IF Number of Individuals is Not Null AND Report Type = ""Individual"". The report type ""Individual"" refers to the individual officer, not to the individual to whom the force was applied.",Text,,Boolean,,
UoF_Main_Records,OfficerInvolvedInjuries_Treatment_No,Officer Involved - Treatment - None,Specifies if the reporting officer did not require treatment for the injury caused by their use of force.,"1 
Blank",Mandatory - Conditional,"At least one of 7 single (IF this specific option is selected, no other additional options can be selected) or multi-select options is mandatory IF Report Type = ""Individual"" AND there were Officer involved injuries because of the use of force applied. The report type ""Individual"" refers to the individual officer, not to the individual to whom the force was applied.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,OfficerInvolvedInjuries_Treatment_FirstAid,Officer Involved - Treatment - First Aid,Specifies whether the reporting officer needed first aid treatment for the injury caused by their use of force,"1 
Blank",Mandatory - Conditional,"At least one of 7 single or multi-select options is mandatory IF Report Type = ""Individual"" AND there were Officer involved injuries because of the use of force applied. The report type ""Individual"" refers to the individual officer, not to the individual to whom the force was applied. 
Blank = Not selected.
",Integer,,Boolean,,
UoF_Main_Records,OfficerInvolvedInjuries_Treatment_MedicalPersonnelScene,Officer Involved - Treatment - Medical Personnel at the Scene,Specifies whether the reporting officer needed medical attention by Personnel at scene for the injury caused by their use of force,"1 
Blank",Mandatory - Conditional,"At least one of 7 single or multi-select options is mandatory IF Report Type = ""Individual"" AND there were Officer involved injuries because of the use of force applied. The report type ""Individual"" refers to the individual officer, not to the individual to whom the force was applied. 
Blank = Not selected.
",Integer,,Boolean,,
UoF_Main_Records,OfficerInvolvedInjuries_Treatment_AdmissionMedicalFacility,Officer Involved - Treatment - Admission at Medical Facility,Specifies whether the reporting officer needed to be admitted to medical facility for the injury caused by their use of force,"1 
Blank",Mandatory - Conditional,"At least one of 7 single or multi-select options is mandatory IF Report Type = ""Individual"" AND there were Officer involved injuries because of the use of force applied. The report type ""Individual"" refers to the individual officer, not to the individual to whom the force was applied. 
Blank = Not selected.
",Integer,,Boolean,,
UoF_Main_Records,OfficerInvolvedInjuries_Treatment_MedicalFacility,Officer Involved - Treatment - at Medical Facility,Specifies whether the reporting officer needed medical attention at facility for the injury caused by their use of force,"1 
Blank",Mandatory - Conditional,"At least one of 7 single or multi-select options is mandatory IF Report Type = ""Individual"" AND there were Officer involved injuries because of the use of force applied. The report type ""Individual"" refers to the individual officer, not to the individual to whom the force was applied. 
Blank = Not selected.
",Integer,,Boolean,,
UoF_Main_Records,OfficerInvolvedInjuries_Treatment_Unknown,Officer Involved - Treatment - Unknown,Specifies whether the reporting officer's treatment for the injury caused by their use of force was unknown,"1 
Blank",Mandatory - Conditional,"At least one of 7 single or multi-select options is mandatory IF Report Type = ""Individual"" AND there were Officer involved injuries because of the use of force applied. The report type ""Individual"" refers to the individual officer, not to the individual to whom the force was applied. 
Blank = Not selected.
",Integer,,Boolean,,
UoF_Main_Records,OfficerInvolvedInjuries_Treatment_Other,Officer Involved - Treatment - Other,Specifies whether the reporting officer needed other treatment  for the injury caused by their use of force,"1 
Blank",Mandatory - Conditional,"At least one of 7 single or multi-select options is mandatory IF Report Type = ""Individual"" AND there were Officer involved injuries because of the use of force applied. The report type ""Individual"" refers to the individual officer, not to the individual to whom the force was applied. 
Blank = Not selected.
",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_EffectArrest,Reason for Use of Force - Effect Arrest,Specifies 'Effect Arrest' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_PreventOffence,Reason for Use of Force - Prevent Offence,Specifies 'Prevent an Offence' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_PreventEscape,Reason for Use of Force - Prevent Escape,Specifies 'Prevent Escape ' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_ProtectOtherOfficers,Reason for Use of Force - Protect Other Officers,Specifies 'Protect Other Officer(s)' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_ProtectPublic,Reason for Use of Force - Protect Public,Specifies 'Protect Public (including victims)' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_ProtectSelf,Reason for Use of Force - Protect Self,Specifies 'Protect Self' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_ProtectIndividual,Reason for Use of Force - Protect Individual(s),Specifies 'Protect Individual(s)' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_Unintentional,Reason for Use of Force - Unintentional,Specifies 'Unintentional' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_ReasonUseOfForce_Other,Reason for Use of Force - Other,Specifies 'Other' as the reason the reporting officer decided to use force when no interaction with an individual occurred,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF No Interaction with Individual(s).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_CEW_Check,Type of Force Used - CEW,Specifies that 'CEW was used unintentionally' by the reporting officer when there was no interaction with an individual,"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF No Interaction with Individual(s) option was selected AND the reason for use of force was ""Unintentional"".
Blank = Not selected.
",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_CEW_Discharged,Type of Force Used - CEW - Discharged,Specifies that CEW was discharged unintentionally by the reporting officer when there was no interaction with an individual,"1 
Blank",Mandatory - Conditional,"Mandatory IF No Interaction with Individual(s) option was selected AND the reason for use of force was ""Unintentional""  AND  the type of force used is CEW.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_Firearm_Handgun_Check,Type of Force Used - Handgun,Specifies handgun was used by the reporting officer unintentionally when there was no interaction with  an individual,"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF No Interaction with Individual(s )option was selected AND the reason for use of force was ""Unintentional"".
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_Firearm_Handgun_Drawn,Type of Force Used - Handgun - Drawn,Specifies handgun was drawn unintentionally by the reporting officer when there was no interaction with the Individual,"1 
Blank",Mandatory - Conditional,"At least one of 2 multi-select options is mandatory IF No Interaction with Individual(s) option was selected AND the reason for use of force was ""Unintentional"" AND  the type of force used is handgun
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_Firearm_Handgun_Discharged,Type of Force Used - Handgun - Drawn -Discharged,Specifies handgun was discharged unintentionally by the reporting officer when there was no interaction with the Individual,"1 
Blank",Mandatory - Conditional,"At least one of 2 multi-select options is mandatory IF No Interaction with Individual(s) option was selected AND the reason for use of force was ""Unintentional"" AND  the type of force used is handgun.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_Firearm_Rifle_Check,Type of Force Used -  Rifle,Specifies rifle was used unintentionally by the reporting officer when there was no interaction with the Individual,"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF No Interaction with Individual(s) option was selected AND the reason for use of force was ""Unintentional.
Blank = Not selected"".",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_Firearm_Rifle_Discharged,Type of Force Used -  Rifle -Discharged,Specifies rifle was discharged unintentionally by the reporting officer when there was no interaction with the Individual,"1 
Blank",Mandatory - Conditional,"Mandatory IF No Interaction with Individual(s) option was selected AND the reason for use of force was ""Unintentional""  AND  the type of force used is Rifle
Blank = Not selected",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_Firearm_ShotgunLethal_Check,Type of Force Used - Lethal Shotgun,Specifies shotgun was used unintentionally by the reporting officer when there was no interaction with the Individual,"1 
Blank",Mandatory - Conditional,"At least one of 4 multi-select options is mandatory IF No Interaction with Individual(s) option was selected AND the reason for use of force was ""Unintentional"".
Blank = Not selected.
",Integer,,Boolean,,
UoF_Main_Records,NoInteractionIndividual_TypeForceUsed_Firearm_ShotgunLethal_Discharged,Type of Force Used - Lethal Shotgun -Discharged,Specifies shotgun was discharged unintentionally by the reporting officer when there was no interaction with the Individual,"1 
Blank",Mandatory - Conditional,"Mandatory IF No Interaction with Individual(s) option was selected AND the reason for use of force was ""Unintentional""  AND  the type of force used is Shotgun (Lethal).
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_EffectArrest,Reason for Use of Force - Effect Arrest,Specifies 'Effect Arrest' as the reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_PreventOffence,Reason for Use of Force - Prevent Offence,Specifies 'Prevent an Offence' as the reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_PreventEscape,Reason for Use of Force - Prevent Escape,Specifies 'Prevent Escape' as the reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_ProtectOtherOfficers,Reason for Use of Force - Protect Other Officers,Protect Other Officer(s)' as the reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_ProtectPublic,Reason for Use of Force - Protect Public,Specifies 'Protect Public (including victims)' as the reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_ProtectSelf,Reason for Use of Force - Protect Self,Specifies 'Protect Self' as the reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_ProtectIndividual,Reason for Use of Force - Protect Individual(s),Specifies 'Protect Individual(s)' as the reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_Unintentional,Reason for Use of Force - Unintentional,Specifies 'Unintentional' as the reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_ReasonUseOfForce_Other,Reason for Use of Force - Other,Other' reason(s) the reporting officer decided to use force when the incident involved an animal only,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_TypeForceUsed_CEW,No Individual- Animal Only -Type Force Used - CEW,Specifies CEW was used by the reporting officer during the animal only incident,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,NoIndividualAnimalOnly_TypeForceUsed_Firearm,No Individual- Animal Only -Type Force Used - Firearm,Specifies firearm was used by the reporting officer during the animal only incident,"1 
Blank",Mandatory - Conditional,"At least one of 9 multi-select options is mandatory IF None(animal only) option was selected.
Blank = Not selected.",Integer,,Boolean,,
UoF_Main_Records,Inclusion_SOLGEN_ARA_Analysis,Inclusion in SOLGEN UoF ARA Analysis,Internal categorization of the type of record/report based on inclusion or exclusion status in the ministry's race-based Use of Force analysis,"Yes
No",,"The reports excluded from SOLGEN UoF ARA Analysis (the ones having the  'No' value) are the  Use of Force reports pertaining to the incidents involving no interaction with human or reports involving only animal(s), including humane destruction of animals.",Text,,Boolean,,
UoF_Individual_Records,Id_,Row ID,This variable is auto-generated when the dataset is uploaded to the Ontario Data Catalogue ,,,"This variable cannot be used to link datasets, as the same _id will likely represent different records across different datasets.",Integer,,Nominal,,
UoF_Individual_Records,BatchFileName,Batch File Name,Unique identifier for each use of force report submitted,,,"This is an internal autogenerated identifier based on the report submission ID. This is a linking variable between UoF_Main_Records, UoF_Individual_Records, UoF_Weapon_Records, UoF_Probe_Records Tables",Text,,Nominal,,
UoF_Individual_Records,Indiv_Index,Individual Index,"Index for each of the individuals on whom reportable use of force was used, within a Use of Force report.

",Number between 1 and 99,Mandatory - Conditional,"Mandatory IF the report is for 1 Individual or more. This is a linking variable between UoF_Individual_Records,  UoF_Weapon_Records and UoF_Probe_Records Tables.
The Individual Index may not correspond to the Number of Individuals in the UoF_Main_Records.csv file. This discrepancy arises when, in the analysis stage, records are removed from the UoF_Individual_Records.csv file as the individual(s) do not qualify as reportable use of force being applied. Consequently, the Individual Index count may be higher than the number of individual records in the  UoF_Individual_Records.csv file.",Integer,,Nominal,,
UoF_Individual_Records,Race,,"Race category that best describes the individual(s), as perceived by the officer at the time the decision was made to use force","Black
East/Southeast Asian 
Indigenous 
Latino 
Middle Eastern 
South Asian 
White",Mandatory - Conditional,"The officer’s assessment of racial identity during the incident was informed by observable characteristics such as skin tone, hair texture, and facial structure, along with additional contextual information (neighbourhood, previous knowledge, etc.) that could influence perceptions of an individual’s racial background.
The race categories are in accordance with the Standards for Participant Observer Information of Race, included in the Ontario's Anti Racism Data Standards.
Mandatory IF the report is for 1 Individual or more.",Text,,Nominal,,
UoF_Individual_Records,DifficultyPerceiving,Difficulty Perceiving Race,Specifies whether the reporting officer had difficulty perceiving the race of the individual,"Yes
No",Mandatory - Conditional,Mandatory IF the report is for 1 Individual or more.,Text,,Boolean,,
UoF_Individual_Records,AgeCategory,Age Category,"Age category of the individual, as perceived by the reporting officer at the time the decision was made to use force ","17 and younger
18 – 24 
25 – 34 
35 – 44 
45 – 54 
55 – 64 
65 and older",Mandatory - Conditional,"Mandatory IF the report is for 1 Individual or more.
The ""Under 12"" and ""12-17"" have been grouped into ""17 and under""  to reduce the risk of re-identification.",Text,,Ordinal,,
UoF_Individual_Records,Gender,Gender,"Gender of the individual, as perceived by the reporting officer at the time the decision was made to use force","Male
Female
Trans/Non-binary/Other",Mandatory - Conditional,Mandatory IF the report is for 1 Individual or more.,Text,,Nominal,,
